POA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
POA3622,5,4,0,0,0,0,0,0,0,11,4,3,3,0,6,0,0,0,0,23,23,3,15,5,3,0,3,6,0,64,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,56,34,23,14,13,8,10,12,0,162
POA3623,8,6,0,3,0,0,0,0,0,15,6,3,3,7,0,0,7,3,0,27,21,3,29,8,5,0,3,21,0,103,0,0,0,0,4,0,0,3,0,11,0,0,3,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,52,37,36,25,19,8,12,35,0,223
POA3624,5,0,0,0,0,0,0,0,0,8,4,0,0,3,0,0,0,0,0,10,24,0,19,8,3,0,11,9,0,67,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,40,8,29,16,6,3,8,14,0,125
POA3629,30,35,6,20,19,3,0,5,0,117,59,48,22,95,56,21,15,26,4,346,110,53,327,172,104,73,79,115,19,1042,4,0,4,9,9,10,5,19,0,67,6,4,3,13,7,11,11,9,0,62,0,4,0,5,0,0,0,0,0,16,8,5,8,5,3,4,8,17,18,79,296,504,396,371,219,138,129,231,50,2333
POA3630,76,87,31,71,58,13,18,37,4,402,141,168,111,320,144,49,39,96,12,1079,306,133,940,516,326,206,192,361,51,3035,8,4,6,26,28,38,16,38,0,161,19,12,11,34,37,17,9,44,3,205,8,15,3,4,0,5,5,17,0,69,21,35,25,32,21,29,24,61,36,279,956,2369,1239,1264,813,437,336,822,146,8381
POA3631,52,47,16,51,40,14,10,9,0,238,115,91,35,161,85,31,19,30,3,574,289,62,653,197,172,81,89,162,27,1728,7,8,4,4,25,8,9,18,0,85,21,3,16,23,23,14,10,14,0,135,4,11,5,3,4,3,0,0,0,31,16,19,8,16,8,11,5,19,12,120,778,1310,790,595,506,210,159,293,60,4690
POA3633,3,4,0,5,5,0,0,0,0,12,9,6,3,14,0,4,0,0,0,26,17,3,25,11,10,7,6,7,0,86,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,56,32,27,17,10,12,11,3,210
POA3634,15,14,3,5,4,5,0,5,0,42,13,7,3,23,8,0,0,8,0,61,38,13,91,25,27,15,20,22,4,251,4,0,0,4,0,0,0,0,0,7,0,0,0,3,4,7,0,3,0,18,0,3,0,0,0,0,0,0,0,7,5,0,0,3,0,0,7,3,0,17,107,147,110,61,52,19,34,43,10,581
POA3635,0,4,0,0,3,0,0,0,0,6,5,0,5,3,3,0,0,0,0,16,17,0,28,4,8,7,7,10,0,80,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,24,35,14,17,10,11,13,0,157
POA3636,23,18,0,6,4,0,5,9,6,73,29,25,9,48,25,0,5,13,4,168,90,23,197,91,65,28,49,82,14,641,5,5,3,5,4,5,5,8,0,40,5,3,6,9,8,0,4,9,3,46,6,3,0,3,0,0,0,0,0,10,9,6,9,7,12,3,7,10,9,69,208,307,234,203,141,53,71,153,37,1404
POA3637,10,4,0,0,0,0,0,0,0,13,3,0,0,4,0,0,0,0,0,17,30,4,15,13,7,3,8,12,0,99,0,0,0,0,3,4,0,0,0,9,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,10,62,31,18,19,10,14,9,22,0,185
POA3638,9,8,0,7,0,0,0,3,0,36,9,4,3,24,15,7,3,3,0,64,46,11,85,35,22,16,21,31,10,279,0,0,0,0,0,5,0,5,0,17,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,6,0,4,0,3,3,0,4,5,5,25,93,128,96,83,51,27,35,65,10,591
POA3639,3,0,0,3,0,0,0,0,0,9,0,3,0,4,0,0,0,0,0,11,18,3,14,9,3,4,6,7,3,66,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,36,25,13,17,8,4,7,17,3,133
POA3640,17,0,3,6,0,0,0,0,0,31,17,3,5,13,7,0,0,8,0,36,19,4,35,18,5,3,18,21,0,128,4,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,3,7,4,0,0,3,0,0,0,3,0,14,81,36,44,41,16,5,23,51,13,316
POA3641,8,3,0,0,6,0,0,5,0,29,10,10,0,19,5,5,0,6,0,45,29,0,43,16,9,15,15,30,0,162,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,6,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,7,3,3,0,19,67,41,55,43,29,25,19,55,0,337
POA3644,26,20,9,26,13,9,0,12,0,120,44,30,31,81,51,13,11,24,0,287,167,25,303,127,92,42,98,157,14,1029,23,4,4,7,9,6,0,13,0,67,10,3,8,8,14,4,6,16,0,67,4,0,3,3,0,0,0,7,0,21,4,6,18,15,3,8,3,29,8,102,377,388,386,320,224,98,134,293,32,2249
POA3646,0,3,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,14,20,0,17,8,13,9,11,9,0,81,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,10,52,55,31,11,21,5,11,8,0,189
POA3647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,4,0,4,0,14
POA3649,4,0,0,0,0,0,0,0,0,6,5,0,0,8,3,0,0,0,0,16,23,0,8,3,0,9,4,7,3,66,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,36,17,8,21,13,10,5,22,4,135
POA3658,23,20,6,20,11,4,3,8,0,91,29,49,26,59,23,16,12,11,4,226,87,31,322,88,80,49,114,83,26,881,11,0,6,10,5,7,3,10,0,54,8,0,3,9,0,5,6,3,0,40,0,0,0,0,0,0,3,0,0,10,5,9,4,11,16,4,6,13,9,64,226,367,390,247,180,86,148,146,44,1839
POA3659,7,4,0,0,3,0,0,0,0,21,4,5,4,9,4,3,3,0,0,31,9,3,37,13,11,4,9,8,4,96,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,10,39,66,46,33,37,11,16,16,8,266
POA3660,32,25,16,21,14,8,0,8,0,130,55,28,22,67,34,10,7,14,0,250,105,33,283,131,80,51,75,115,13,884,5,0,8,10,9,7,0,5,0,48,7,0,6,10,8,3,9,10,0,54,3,3,0,0,0,0,5,0,0,15,5,0,8,3,3,6,8,14,3,60,312,380,369,317,194,107,100,206,28,2020
POA3662,11,0,0,4,0,0,0,0,0,18,11,4,3,23,9,0,3,0,0,51,27,9,8,62,12,0,18,3,3,151,0,5,0,8,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,0,3,12,95,64,14,126,21,3,26,0,4,360
POA3663,0,0,0,3,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,9,3,0,0,3,0,0,7,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,10,0,7,0,0,7,3,0,54
POA3664,5,9,9,4,0,0,4,0,0,33,10,6,4,8,4,0,0,4,5,47,23,10,53,17,13,6,12,20,0,148,3,0,0,0,3,0,0,7,0,13,3,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,80,78,76,43,36,13,15,34,10,386
POA3665,6,3,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,16,14,3,12,3,6,0,0,3,0,41,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,31,34,13,14,12,3,0,8,0,125
POA3666,39,17,12,9,19,0,4,9,0,111,23,25,21,37,24,4,0,14,0,150,107,18,157,71,49,27,38,76,10,549,6,3,6,10,9,0,0,14,0,34,8,4,0,4,4,6,0,4,0,22,3,0,0,0,3,0,4,0,0,15,24,5,3,0,6,4,0,16,5,64,315,314,223,156,137,45,49,147,27,1411
POA3669,20,5,0,10,5,0,0,4,0,40,10,5,3,9,0,0,3,0,0,32,20,12,48,22,13,9,9,19,5,153,0,0,0,0,0,0,0,3,0,12,0,0,0,7,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,3,15,4,0,0,0,0,6,0,4,20,111,78,62,47,34,13,17,39,5,409
POA3670,8,0,4,0,0,0,0,0,0,12,5,0,0,0,3,0,0,0,0,17,10,0,31,12,4,3,4,12,0,80,0,0,4,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,40,34,40,20,14,7,10,13,0,175
POA3672,47,33,19,33,36,13,4,9,0,190,42,58,29,114,48,15,7,27,7,352,126,38,403,227,120,77,84,128,26,1223,4,5,8,14,8,12,8,21,0,74,7,4,5,12,8,3,8,18,0,64,0,7,9,0,0,0,0,6,0,22,15,8,15,18,10,4,8,22,14,124,362,672,505,488,287,147,128,249,56,2902
POA3673,17,10,4,3,0,0,0,0,4,39,13,15,5,10,10,6,4,0,3,70,48,10,81,23,25,15,22,30,0,248,0,0,3,4,0,6,0,5,0,14,6,0,0,8,0,0,0,0,0,16,5,0,0,0,0,0,0,0,0,7,11,5,5,0,0,0,5,0,0,25,151,128,101,60,52,29,31,44,14,618
POA3675,12,13,3,9,5,0,0,0,0,47,13,11,13,21,12,0,5,5,0,83,46,16,97,41,28,12,22,25,0,286,4,0,9,6,4,0,0,6,0,24,3,0,0,0,8,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,3,0,6,0,4,5,3,3,0,22,125,178,128,90,79,28,30,45,13,723
POA3677,52,57,22,72,46,16,6,12,4,295,91,114,45,234,87,39,14,37,14,684,223,84,723,395,230,162,178,248,31,2269,9,0,9,25,23,22,11,19,0,125,12,8,18,34,14,16,4,21,7,129,3,6,4,3,12,0,0,8,0,39,18,18,11,30,17,21,16,23,27,175,629,1542,910,980,539,320,252,414,86,5665
POA3678,50,38,13,35,22,9,6,6,3,185,40,53,23,58,31,9,3,11,5,237,157,30,305,97,89,46,73,90,8,908,3,0,3,6,12,9,6,10,0,51,8,8,0,8,10,3,6,6,0,52,4,3,0,0,0,0,0,0,0,14,13,10,8,8,10,9,3,7,5,73,507,608,382,270,235,99,105,143,31,2392
POA3682,3,4,0,4,0,0,0,0,0,17,5,5,3,4,5,0,0,0,0,23,30,0,34,7,9,3,10,13,0,101,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,62,30,40,24,21,15,11,24,0,230
POA3683,12,10,4,5,6,10,0,0,0,35,11,15,5,17,9,3,0,0,5,57,24,18,88,28,18,9,33,30,0,241,4,0,0,4,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,3,0,0,0,9,3,0,0,3,6,20,78,118,103,80,61,23,37,44,13,548
POA3685,11,16,3,8,11,0,4,4,0,64,21,23,6,29,7,8,4,7,3,107,44,15,111,48,38,12,33,47,8,362,5,3,0,9,3,5,3,3,0,24,3,0,7,3,4,0,4,5,0,30,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,6,3,28,172,219,143,109,94,33,48,84,17,929
POA3687,3,7,0,0,5,3,0,0,0,15,4,4,0,5,11,0,0,0,0,27,15,4,61,16,5,4,13,26,0,148,0,0,0,4,0,0,0,5,0,6,0,3,0,0,0,3,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,37,55,63,30,24,15,22,35,7,290
POA3688,12,4,0,10,0,0,0,5,0,28,12,7,3,10,10,4,0,7,0,55,21,10,79,25,23,13,26,28,0,232,0,0,0,0,3,4,0,0,0,13,3,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,5,4,0,4,19,83,92,89,69,46,29,34,41,7,483
POA3690,90,120,70,109,78,20,25,24,4,542,182,226,125,402,236,107,53,55,19,1401,436,246,1455,806,581,292,394,466,86,4760,19,0,28,40,37,44,21,46,0,238,14,19,15,58,55,26,23,35,6,248,8,12,4,16,7,6,4,7,5,61,11,20,27,36,31,16,32,42,33,237,1257,2581,1812,1791,1266,572,610,757,166,10814
POA3691,66,60,28,37,35,10,5,9,0,250,105,81,47,177,103,31,12,14,13,574,314,80,708,235,219,90,158,141,24,1960,16,0,15,16,26,4,9,8,0,93,27,5,7,27,24,9,7,9,0,113,5,10,0,0,0,0,3,0,0,30,29,20,7,13,9,18,8,6,9,114,842,1202,863,646,530,170,217,218,66,4763
POA3695,4,4,0,0,3,0,0,3,0,11,5,3,0,4,5,0,0,4,0,25,20,8,25,3,3,3,9,10,3,79,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,47,41,25,12,18,8,8,21,0,182
POA3697,0,3,0,0,4,0,0,0,0,15,5,0,0,7,0,0,4,0,0,14,13,3,29,8,5,4,7,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,38,41,38,23,21,6,7,8,4,188
POA3698,8,3,4,0,3,0,0,4,0,29,5,3,8,8,3,6,0,4,0,33,15,6,47,10,9,7,6,7,0,108,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,79,92,66,39,31,19,9,23,6,353
POA3699,8,4,4,7,0,0,0,0,0,22,5,5,3,11,4,4,0,3,0,32,22,5,51,21,9,3,13,20,3,147,5,0,0,0,0,3,0,4,0,16,5,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,3,0,9,79,83,74,75,24,18,15,51,6,424
POA3700,7,5,0,0,8,0,0,5,0,17,4,4,8,4,6,0,4,3,0,38,20,7,78,26,21,7,23,27,0,211,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,3,15,46,73,91,54,43,10,29,51,5,415
POA3701,12,5,0,0,3,4,0,0,0,20,9,3,0,10,5,0,0,5,0,33,58,4,25,17,10,3,14,17,4,152,0,0,0,0,0,0,0,4,0,11,0,0,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,4,0,0,15,106,46,36,37,27,10,15,33,8,324
POA3704,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,3,0,10
POA3705,5,0,0,0,0,0,0,0,0,10,0,0,0,3,3,0,0,0,0,9,14,0,3,5,0,0,0,9,0,34,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,15,3,13,6,0,0,8,6,79
POA3707,8,4,0,9,3,0,0,3,0,36,9,6,6,17,7,4,0,3,0,51,63,11,61,28,22,4,12,32,0,232,0,0,6,3,4,4,0,0,0,21,4,0,0,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,5,6,0,0,3,0,4,4,5,0,20,128,102,75,70,44,23,23,44,6,515
POA3708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,4,0,9,0,0,4,0,22
POA3709,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,17,0,5,7,5,0,0,4,0,36,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,31,7,8,11,9,0,5,13,0,83
POA3711,3,4,0,0,0,0,0,3,0,13,3,10,0,3,0,0,0,4,0,14,16,3,33,11,7,4,8,6,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,38,41,38,25,11,12,10,16,0,191
POA3712,0,3,0,0,0,0,0,0,0,11,0,0,0,6,0,0,0,0,0,6,6,3,23,0,9,0,6,0,0,54,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,4,21,17,27,8,9,5,10,11,0,97
POA3713,10,0,0,3,0,0,0,0,0,19,6,0,0,5,0,4,0,3,0,25,20,7,41,16,8,3,8,12,0,120,3,0,0,3,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,6,0,0,0,10,50,40,50,50,13,14,6,22,3,252
POA3714,8,15,9,4,10,9,3,0,0,55,25,16,14,38,28,5,5,4,0,127,56,10,155,62,44,21,35,49,6,437,4,0,5,7,6,4,0,0,0,23,12,0,8,4,3,0,4,0,0,32,0,0,0,0,0,0,0,0,0,4,9,3,5,4,4,4,7,0,0,45,180,228,200,157,121,40,48,73,20,1078
POA3715,5,0,3,0,0,0,0,0,0,11,3,0,0,4,0,0,0,6,0,18,12,0,12,11,4,0,3,7,0,58,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,18,25,12,11,5,3,14,7,125
