POA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
POA3129,27,14,67,38,25,24,13,29,3,239,5,0,0,3,0,0,0,0,0,8,12,33,11,10,19,12,5,3,5,110,15,19,19,16,8,11,4,12,22,123,1122,2964,632,609,800,394,149,243,117,7037
POA3130,50,18,115,44,39,32,13,36,0,350,0,0,0,0,0,0,0,3,0,5,47,69,13,21,30,16,7,9,9,231,19,28,23,17,34,24,11,12,58,228,2249,5359,1145,977,1615,650,275,383,215,12867
POA3131,35,9,99,59,35,35,17,37,5,320,0,0,0,0,0,0,0,0,0,3,25,36,22,12,26,9,5,3,4,145,11,22,16,25,8,9,5,19,22,135,1278,3404,873,833,1118,499,200,355,122,8677
POA3132,29,11,68,36,20,28,18,17,0,224,0,0,0,0,0,0,0,0,0,5,20,24,12,12,19,8,7,4,0,103,14,12,9,8,9,4,3,8,25,105,1081,2921,707,624,883,333,135,212,103,6996
POA3133,37,7,87,37,32,32,10,25,3,270,0,0,0,0,0,0,0,7,0,11,17,23,8,14,20,9,8,6,0,107,13,24,18,14,11,7,10,24,32,154,1332,3171,874,760,1047,444,187,296,145,8258
POA3134,64,18,152,77,78,48,27,46,9,530,0,0,0,0,0,0,3,0,0,5,31,45,18,27,45,19,15,13,7,220,33,32,47,32,23,22,11,11,48,255,2260,4696,1744,1415,1689,660,306,517,213,13499
POA3135,40,8,88,46,44,31,9,21,3,306,0,0,0,0,0,0,0,0,0,3,19,42,13,23,18,7,3,3,5,131,10,18,24,14,19,10,9,8,35,150,1246,3085,998,818,930,389,167,280,95,8006
POA3136,114,28,235,117,105,101,34,66,13,812,0,0,0,4,0,0,0,5,3,17,33,61,37,28,39,15,14,10,11,260,34,23,63,39,40,19,16,33,53,315,2409,5507,2561,1966,2083,858,470,732,251,16832
POA3137,44,13,87,37,52,31,11,29,0,303,0,0,0,0,0,0,0,0,0,6,3,17,11,12,3,0,3,4,5,60,4,6,26,9,10,6,10,12,23,107,668,1332,1030,685,609,258,183,266,88,5114
POA3138,57,9,134,70,64,42,21,43,6,443,0,0,3,0,0,0,0,0,0,5,10,29,22,20,19,12,5,3,4,135,19,17,38,19,17,18,16,25,35,201,1043,2232,1654,1078,1008,403,302,435,130,8290
POA3139,41,7,105,53,46,27,8,28,4,318,0,0,0,0,0,0,0,0,0,6,14,9,7,14,8,0,3,4,0,58,18,12,38,11,16,6,10,10,26,142,700,882,1365,695,557,212,228,327,69,5047
POA3140,46,14,113,56,58,40,9,34,5,367,0,0,0,0,0,0,0,0,0,0,11,16,16,9,17,3,7,12,7,100,12,13,26,18,10,8,8,9,37,138,852,1518,1180,826,802,310,224,325,93,6132
POA3141,71,29,157,57,45,45,9,17,5,417,0,3,0,0,0,0,0,0,0,5,58,129,8,16,36,14,3,10,5,280,35,40,19,18,19,15,0,15,35,195,2678,7027,709,795,1383,748,111,259,207,13919
POA3142,25,3,33,18,15,12,0,5,0,122,0,0,0,0,0,0,0,0,0,4,36,33,3,0,18,18,0,4,3,115,23,18,4,3,12,9,3,0,14,96,1313,2499,201,243,569,330,30,84,142,5417
POA3143,17,14,40,20,17,12,0,10,5,133,0,0,0,0,0,0,0,0,0,0,25,31,3,4,14,6,5,3,3,97,4,17,3,0,3,7,0,0,13,52,943,2170,230,255,433,300,45,84,79,4540
POA3144,24,4,34,15,5,12,0,7,0,101,0,0,0,0,0,0,0,0,0,0,38,43,0,12,12,11,0,0,3,115,3,18,9,0,5,0,0,4,14,54,1057,2166,213,220,452,263,38,77,86,4562
POA3145,44,20,87,39,23,32,3,22,4,268,0,9,0,0,0,0,0,4,0,8,34,70,16,18,30,15,3,9,4,202,30,35,11,14,9,11,3,6,40,161,2051,4477,671,696,1129,543,138,290,144,10146
POA3146,46,12,77,30,40,21,8,16,3,257,0,0,0,0,0,0,0,3,0,7,55,57,6,16,35,21,8,3,14,211,22,22,10,11,11,17,0,7,33,127,2628,5442,639,646,1245,575,110,205,162,11647
POA3147,28,8,34,24,14,17,0,16,0,145,0,0,0,0,0,0,0,0,0,3,32,29,5,9,13,3,0,5,8,106,17,15,4,7,7,5,0,6,30,95,1294,2621,425,395,612,285,83,163,101,5991
POA3148,18,4,60,20,18,16,9,24,0,172,0,0,0,0,0,0,0,0,0,3,12,17,8,11,14,5,0,3,0,68,10,11,17,7,7,0,5,9,19,86,585,1556,416,395,492,265,101,187,75,4076
POA3149,76,14,147,58,56,40,12,47,4,453,0,0,0,0,0,0,0,0,0,9,39,65,20,17,40,22,7,13,9,229,29,29,32,21,27,21,6,26,68,259,2353,5535,1193,982,1743,795,307,519,262,13683
POA3150,82,35,242,100,66,56,35,64,9,679,0,0,0,0,0,6,4,3,0,15,52,77,22,40,49,31,22,24,9,330,47,60,56,18,41,23,11,29,101,397,3697,8836,2017,1723,2811,1300,576,853,398,22208
POA3151,16,4,61,14,9,8,9,19,3,147,0,0,0,0,0,0,0,0,0,0,11,17,0,9,10,3,0,0,0,56,7,17,17,0,0,5,3,11,19,86,561,1453,407,317,503,259,115,236,63,3918
POA3152,70,19,145,74,52,53,12,64,5,499,0,3,0,0,0,0,0,5,0,11,29,61,29,28,28,19,13,14,13,231,26,23,42,19,29,19,11,27,58,256,1928,4456,1479,1190,1729,782,368,507,227,12660
POA3153,48,15,132,62,45,35,19,54,5,408,0,0,0,0,0,0,4,0,0,5,16,16,12,10,9,5,4,10,0,86,11,14,27,24,25,8,20,22,41,196,855,2217,1270,1001,985,412,314,473,137,7663
POA3154,6,0,23,7,15,8,3,5,0,77,0,0,0,0,0,0,0,0,0,0,0,3,8,3,3,0,0,3,0,20,0,0,15,3,7,0,0,3,8,41,251,414,315,193,211,82,54,81,29,1632
POA3155,45,12,125,72,67,47,29,46,5,440,0,0,0,0,0,0,0,0,0,6,21,25,22,13,17,12,6,10,4,130,18,18,43,15,27,15,20,18,26,192,967,2477,1512,1102,1105,483,338,456,122,8565
POA3156,82,23,214,88,108,80,38,59,6,698,0,0,0,5,0,0,3,0,0,7,35,62,32,30,28,15,16,7,15,240,38,32,64,22,40,19,23,27,52,302,2068,4008,2469,1580,1783,780,519,623,221,14056
POA3158,14,5,22,12,14,12,8,14,7,98,0,0,0,0,0,0,0,0,0,6,8,16,0,10,12,0,3,0,3,63,5,4,8,0,6,5,7,5,20,55,402,952,428,305,307,126,85,123,55,2783
POA3159,5,0,7,6,4,6,0,0,0,39,0,0,0,0,0,0,0,0,0,0,5,8,7,4,0,3,0,0,0,34,0,0,0,0,0,0,0,0,6,13,179,332,173,122,104,42,26,38,14,1034
POA3160,10,3,54,16,26,9,9,6,3,145,0,0,0,0,0,0,0,0,0,0,11,20,8,11,9,5,0,4,0,69,13,7,11,6,12,9,0,5,10,69,595,1229,597,456,379,149,89,136,53,3688
POA3161,30,5,72,42,23,18,5,12,3,209,0,0,0,0,0,0,0,0,0,8,25,48,8,19,25,7,0,5,3,144,17,27,7,9,6,7,3,4,33,108,1432,3500,421,547,744,398,86,168,161,7455
POA3162,35,3,60,30,27,17,4,14,4,188,0,0,0,0,0,0,0,0,0,3,35,48,9,11,20,9,6,5,9,158,25,29,10,12,18,5,5,3,35,138,1528,3350,486,556,796,407,98,177,137,7535
POA3163,61,17,204,72,37,48,20,41,8,497,4,5,0,3,4,0,0,0,0,15,57,81,26,28,57,17,15,19,8,316,34,34,39,14,18,15,11,12,68,249,2425,6636,1363,1268,1784,841,339,585,288,15539
POA3165,69,18,138,60,58,61,16,21,3,448,3,0,0,0,0,0,0,0,0,8,43,64,18,19,37,19,3,4,8,215,29,39,29,17,31,12,14,16,32,209,2315,4453,1252,971,1520,679,194,316,188,11887
POA3166,42,17,140,65,52,46,23,27,5,421,0,3,0,0,0,4,0,0,0,7,28,64,19,18,47,16,4,10,12,208,16,30,31,13,26,13,10,9,41,189,1568,4071,1078,911,1255,582,275,419,157,10330
POA3167,15,3,60,20,16,14,8,23,3,170,0,0,0,0,0,0,0,0,0,0,10,14,5,3,24,4,13,0,4,74,4,16,7,6,10,7,0,7,23,79,527,1296,441,340,489,230,133,181,79,3711
POA3168,32,13,143,42,28,33,22,52,9,363,0,0,3,5,0,0,0,8,0,20,8,21,9,20,23,12,10,22,5,136,7,22,30,17,14,10,17,19,56,195,624,2977,865,916,859,577,558,863,202,8445
POA3169,30,15,129,55,33,21,34,49,7,374,0,0,0,0,0,0,0,5,0,7,15,15,11,10,13,11,10,21,8,107,14,17,22,12,21,8,16,34,51,198,648,2178,980,788,931,420,454,607,161,7164
POA3170,28,16,105,57,40,23,18,34,3,326,0,0,0,0,0,0,0,0,0,3,13,22,9,11,15,0,0,7,5,82,12,15,21,15,13,17,13,26,45,179,1025,2393,828,674,997,367,251,361,159,7056
POA3171,24,5,154,72,22,37,42,82,11,444,0,0,0,0,0,0,4,5,10,16,4,10,16,7,9,8,12,17,5,88,15,16,31,26,13,19,32,50,70,251,419,1382,809,727,619,375,486,719,176,5714
POA3172,34,10,121,50,52,21,24,50,3,371,0,0,0,0,0,0,0,4,0,4,16,22,7,12,23,10,14,9,8,115,19,13,29,21,17,7,32,42,48,227,799,1660,990,712,857,401,394,463,129,6399
POA3173,49,12,149,79,45,52,45,65,3,499,0,0,0,0,0,0,0,0,0,9,22,23,12,13,20,12,23,11,3,136,20,20,43,25,23,15,33,31,62,266,1178,2702,1247,885,1279,588,533,606,194,9213
POA3174,46,9,275,144,64,47,95,132,12,820,0,0,3,0,3,0,9,10,0,27,16,21,39,38,20,10,35,40,0,225,24,24,52,46,31,17,43,79,85,396,768,2464,1632,1693,1256,600,1011,1303,260,10981
POA3175,50,12,276,107,61,57,77,143,14,791,0,3,4,0,0,5,6,11,0,38,19,18,33,32,27,15,44,36,8,235,22,34,80,54,30,19,65,91,100,506,1070,2856,2287,1836,1540,730,1236,1482,306,13349
POA3177,5,3,52,20,11,18,19,36,0,166,0,0,0,0,0,0,4,6,0,4,0,0,12,10,3,5,9,11,0,43,5,5,24,12,0,5,22,24,32,143,166,436,501,420,268,144,291,303,73,2598
POA3178,68,13,162,67,63,56,22,45,7,508,0,0,3,0,0,3,5,3,0,12,39,32,28,17,30,12,9,8,4,188,27,22,31,28,38,23,14,32,46,253,2009,3896,1882,1195,1737,790,410,530,204,12653
POA3179,10,3,27,21,5,13,8,6,0,99,0,0,0,0,0,0,0,0,0,3,4,3,0,4,3,4,0,3,0,24,4,9,12,0,7,4,9,8,11,57,320,678,330,250,281,143,87,110,31,2230
POA3180,20,0,51,21,19,17,12,11,0,145,0,0,0,0,0,0,0,0,0,0,8,6,9,8,9,4,5,4,0,43,10,7,16,8,6,3,0,4,7,58,379,880,410,310,366,153,111,143,30,2785
POA3181,71,25,145,67,36,43,8,19,4,420,0,0,0,0,0,0,0,0,0,4,54,84,11,16,38,22,7,5,8,234,23,43,16,3,13,13,3,10,48,170,2098,4901,716,779,1123,668,104,236,158,10788
POA3182,93,34,238,95,53,34,11,31,11,599,0,0,0,0,0,0,0,0,0,7,53,92,20,32,41,25,10,10,7,294,25,39,18,20,12,18,3,7,43,199,2160,4880,1089,1068,1230,601,207,392,220,11838
POA3183,45,15,173,45,47,26,8,16,6,387,0,5,5,0,0,0,0,3,0,8,60,55,14,20,32,11,0,11,8,213,21,37,6,7,14,7,10,4,36,140,1640,3844,734,695,880,461,147,266,142,8802
POA3184,50,12,75,41,28,22,4,16,5,249,0,0,0,0,0,0,0,0,0,8,33,64,12,19,30,20,3,5,5,184,19,29,18,7,7,5,0,8,25,118,1658,3510,582,592,735,452,92,168,120,7914
POA3185,26,9,73,27,31,8,4,7,0,191,0,0,0,0,0,0,0,0,0,0,39,50,8,6,18,9,0,9,0,138,3,19,10,9,8,13,6,3,20,93,1240,2811,433,455,644,307,78,119,98,6173
POA3186,51,22,58,27,36,18,3,3,3,213,0,0,0,0,0,0,0,0,0,3,47,60,6,11,25,10,0,6,0,179,37,30,7,3,16,13,0,3,39,152,2476,3835,413,444,881,519,57,109,185,8912
POA3187,41,12,36,21,20,24,0,11,0,168,0,4,0,0,0,0,0,0,0,4,34,42,10,10,15,7,0,0,4,130,22,14,12,3,4,10,0,5,21,94,1649,2522,374,349,663,358,59,99,110,6180
POA3188,47,16,50,21,34,22,8,7,6,213,0,0,0,0,0,0,0,0,0,0,34,56,3,9,16,14,0,4,8,145,13,31,7,5,12,11,0,3,23,103,1963,3002,516,463,801,394,67,147,111,7456
POA3189,14,3,42,17,12,15,7,13,0,126,0,0,0,0,0,0,0,0,0,0,13,13,5,0,8,3,0,13,6,52,10,3,10,7,5,0,4,5,9,51,447,911,319,231,298,129,49,110,33,2527
POA3190,25,13,59,33,22,24,9,18,4,198,0,4,0,0,0,0,0,0,0,3,23,27,17,13,18,6,3,0,3,99,18,9,15,11,9,12,0,0,14,87,1079,1849,526,435,616,264,80,126,74,5054
POA3191,14,6,30,7,14,7,4,5,6,93,0,0,0,0,0,0,0,0,0,0,26,30,5,7,12,6,0,5,0,91,20,6,8,3,4,12,0,8,17,78,1127,1705,301,272,428,228,36,87,57,4244
POA3192,47,16,97,40,45,43,11,22,5,325,0,0,0,0,0,0,0,6,0,5,35,50,21,21,29,10,9,9,0,183,23,11,24,18,21,13,5,14,28,161,1690,3363,1124,897,1181,560,189,296,138,9440
POA3193,41,10,46,28,28,21,0,5,3,186,0,0,3,3,0,0,0,0,0,3,42,35,11,13,26,9,0,3,10,151,23,13,10,8,7,8,0,5,36,112,2071,2946,551,438,879,437,74,131,147,7665
POA3194,32,13,74,36,25,23,3,14,7,232,0,0,0,0,0,0,0,0,0,6,37,28,4,3,15,0,0,4,3,99,13,19,14,4,5,7,4,5,21,94,1002,1990,581,525,707,266,120,143,82,5412
POA3195,74,21,166,83,81,66,14,32,4,544,0,0,0,0,0,0,0,0,0,7,45,62,18,25,40,19,17,8,0,238,37,23,47,21,21,24,6,12,57,246,2840,5190,1771,1352,1797,827,277,411,195,14654
POA3196,46,22,120,75,71,37,18,37,11,434,0,0,0,0,0,0,0,0,0,4,30,48,14,20,25,8,10,8,16,190,21,24,42,19,16,13,18,15,33,201,1624,3478,1571,1131,1284,491,250,376,148,10355
POA3197,29,4,58,27,18,20,12,10,6,189,0,0,0,0,0,0,0,0,0,0,17,16,12,5,5,0,5,5,3,70,21,9,20,9,12,9,3,3,26,105,794,1280,727,474,549,253,121,155,84,4444
POA3198,34,12,89,50,50,38,17,40,0,344,0,0,0,0,0,0,0,0,0,10,17,12,13,18,14,8,3,6,9,96,15,10,33,13,12,0,11,27,31,156,771,1571,1113,728,678,350,208,314,113,5854
POA3199,104,43,285,169,116,112,35,109,11,990,0,0,0,0,3,3,5,3,0,15,69,70,27,44,47,17,12,20,18,331,38,57,75,33,43,49,23,55,72,439,2563,5458,3121,2506,2062,1085,631,1033,289,18740
POA3200,7,3,33,15,14,9,12,20,0,123,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,0,0,5,0,25,4,4,15,10,3,9,12,9,3,64,115,165,280,232,122,70,106,152,23,1264
POA3201,47,11,148,61,62,56,34,71,7,499,0,0,4,0,0,3,0,3,0,6,18,13,18,15,16,5,7,13,3,115,14,17,50,16,24,15,26,33,43,239,736,1410,1535,1122,939,442,443,569,147,7344
POA3202,13,4,15,3,3,3,0,3,0,39,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,16,4,3,3,5,0,0,0,0,5,20,219,356,127,99,129,50,25,38,19,1055
POA3204,68,24,175,61,58,40,13,23,3,466,0,0,3,0,0,3,3,0,0,11,58,97,21,27,32,22,9,7,10,274,36,32,28,20,25,21,10,8,46,220,2778,5789,1179,1133,1644,747,252,363,220,14109
POA3205,38,10,55,28,22,12,4,12,0,174,4,0,0,0,0,0,0,0,0,3,29,33,8,9,21,3,0,0,5,111,19,13,10,9,12,6,0,4,28,90,1208,2536,331,345,614,255,48,131,100,5571
POA3206,11,3,20,4,10,4,0,8,3,65,0,0,0,0,0,0,0,0,0,4,27,37,3,9,9,4,0,4,4,97,15,16,0,3,5,4,3,0,8,61,1201,1896,210,175,358,189,33,46,81,4188
POA3207,48,17,75,35,32,21,5,14,4,249,0,0,0,0,0,0,0,0,0,3,40,54,12,21,17,15,10,10,3,159,17,21,16,10,13,8,10,11,26,130,2023,3249,544,489,840,376,97,152,144,7909
POA3211,0,0,0,5,6,5,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,4,0,0,4,0,0,7,24,64,81,79,44,46,18,26,26,14,386
POA3212,26,8,88,70,49,34,35,28,5,334,0,3,0,0,0,0,0,0,0,0,9,14,19,9,11,4,14,14,4,97,14,16,24,12,20,6,23,9,29,152,684,1530,1145,957,743,307,389,346,93,6191
POA3213,14,3,32,4,13,0,6,9,0,82,0,0,0,0,0,0,0,0,0,3,0,4,5,8,0,0,0,0,0,24,6,4,9,7,3,0,5,8,6,58,244,364,327,178,183,66,90,113,28,1600
POA3214,39,8,122,56,22,34,53,67,8,406,0,0,0,0,0,0,0,3,0,7,4,8,9,9,12,4,15,10,3,70,4,10,47,36,9,11,27,56,42,239,293,667,871,1063,438,325,532,604,124,4913
POA3215,35,6,132,61,43,42,19,51,8,390,0,0,0,0,0,0,0,0,0,7,12,24,10,15,16,7,11,19,5,119,19,21,41,27,15,21,10,30,35,217,799,2045,1239,1003,821,406,354,464,131,7267
POA3216,119,20,343,189,126,113,33,107,15,1060,0,5,5,0,4,0,0,0,0,16,38,74,39,68,50,9,27,23,13,345,36,46,58,56,36,24,29,41,82,406,2744,7441,3189,3007,2364,1133,793,1173,299,22152
POA3217,59,19,201,102,74,57,22,50,8,585,0,0,0,0,0,0,0,4,0,4,12,18,15,28,11,9,7,14,9,120,15,20,33,26,8,12,4,10,38,171,1019,2663,1389,1414,937,469,319,447,119,8773
POA3218,44,13,101,36,35,22,7,26,3,280,0,0,0,0,0,0,0,0,0,4,18,31,8,20,10,6,6,9,0,114,16,14,23,9,13,0,6,9,31,118,964,2236,851,697,660,270,199,299,85,6260
POA3219,34,9,157,73,31,42,36,67,4,457,0,0,0,0,0,0,0,0,0,3,9,24,16,20,11,4,8,13,0,102,15,9,35,20,7,10,13,38,22,171,581,1543,1178,1154,681,368,304,508,91,6402
POA3220,50,11,100,51,27,19,12,25,0,302,0,0,0,0,0,3,0,0,0,8,27,27,7,12,18,10,5,10,3,119,11,19,13,6,19,8,5,10,14,101,1160,2845,724,680,683,321,136,283,97,6935
POA3221,5,0,3,0,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,4,5,0,0,0,0,5,0,0,6,80,109,28,22,33,11,9,17,4,312
POA3222,48,3,150,60,31,46,21,40,6,399,0,0,0,0,0,0,0,0,0,7,15,16,7,14,13,7,4,8,4,85,4,10,26,11,13,12,6,20,25,129,765,1480,1116,879,609,283,225,401,100,5856
POA3223,15,4,42,22,13,8,7,15,6,135,0,0,0,5,0,0,0,0,0,3,3,8,0,3,7,0,3,0,0,31,10,0,15,18,9,7,5,10,8,84,382,621,410,326,293,124,106,158,53,2471
POA3224,19,9,120,63,45,29,15,32,3,333,0,0,0,0,0,0,0,0,0,3,4,16,6,10,7,3,6,10,3,66,12,12,22,7,15,8,12,15,23,134,554,1190,948,753,553,261,223,311,80,4873
