POA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA3032,3140,6299,25,157,268,1218,26,128,1946,7283,2271,8787,186,793,375,1325,554,1804,1107,3914,3387,12705,5,37,76,250,20,71,365,873,469,1232,54,174,137,303,400,863,591,1345,1060,2574,212,429,7797,22005
POA3033,1515,3051,16,77,209,967,22,98,1018,3927,1263,5065,125,529,224,825,458,1506,811,2859,2071,7931,7,35,38,110,18,44,184,472,240,665,39,126,77,175,324,735,440,1036,680,1703,59,124,4320,12802
POA3034,1260,2545,19,104,134,609,23,92,793,3055,960,3863,105,442,122,443,399,1303,617,2186,1577,6047,0,12,37,127,11,35,125,311,171,486,31,112,50,122,296,659,378,895,553,1383,63,143,3456,10111
POA3036,640,1283,18,84,90,390,7,39,350,1374,463,1889,79,366,89,321,224,748,394,1437,852,3327,3,8,12,27,9,46,54,139,79,218,24,72,16,34,111,250,148,356,225,571,7,19,1732,5207
POA3037,3426,6987,169,993,944,4404,196,927,3562,14021,4875,20349,637,2810,773,2832,1753,6069,3173,11705,8040,32058,50,251,166,585,72,266,661,1803,952,2903,160,548,236,569,868,2049,1266,3162,2212,6069,170,374,13854,45479
POA3038,2639,5353,54,323,373,1737,61,308,1281,5062,1775,7421,351,1533,438,1630,1330,4492,2125,7658,3899,15080,11,66,72,272,23,83,302,843,414,1263,70,242,122,302,542,1274,731,1821,1150,3081,74,158,7759,23684
POA3039,1826,3652,16,90,176,807,13,44,953,3604,1160,4540,106,474,210,756,292,955,608,2183,1767,6718,4,4,31,91,4,9,147,343,179,448,18,57,61,123,211,466,287,644,462,1096,106,218,4165,11689
POA3040,2494,4990,38,222,383,1730,31,139,1645,6332,2097,8419,285,1269,487,1769,624,2087,1404,5124,3497,13549,11,31,73,218,10,34,245,575,335,862,46,148,139,308,341,756,534,1217,864,2081,118,256,6972,20867
POA3041,1156,2311,22,101,235,1069,19,79,899,3472,1168,4719,142,607,233,873,348,1145,720,2625,1890,7346,5,14,36,105,0,15,122,308,170,454,30,98,80,171,185,390,286,661,455,1111,52,110,3549,10881
POA3042,1649,3315,10,59,185,836,32,129,1201,4547,1422,5570,122,531,175,640,426,1416,728,2590,2153,8161,9,20,53,182,21,58,226,542,301,797,44,139,90,199,370,817,504,1164,806,1957,111,231,4719,13667
POA3043,1799,3614,27,185,202,949,28,132,1121,4280,1382,5545,129,577,157,541,522,1723,803,2841,2188,8386,15,49,57,203,25,84,245,666,336,997,57,186,82,198,464,1057,606,1437,943,2436,91,203,5020,14643
POA3044,2697,5427,48,260,334,1500,30,146,2225,8308,2638,10204,207,885,345,1231,597,2019,1152,4131,3790,14340,12,42,73,230,20,63,338,807,440,1147,63,208,132,314,448,989,650,1515,1084,2660,152,315,7727,22737
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3046,3515,7124,82,499,334,1623,63,309,2562,9744,3037,12174,212,938,240,831,660,2233,1113,4003,4155,16174,14,64,84,288,32,113,458,1191,584,1658,94,307,163,387,704,1580,961,2271,1548,3926,248,539,9461,27768
POA3047,1213,2482,102,637,246,1317,83,441,1202,5113,1628,7505,120,573,124,464,474,1657,729,2701,2349,10207,28,134,88,351,40,174,328,994,487,1653,58,211,90,213,569,1328,718,1747,1202,3400,148,322,4914,16409
POA3048,979,1999,87,549,236,1269,72,365,952,4095,1345,6279,199,942,113,400,626,2193,936,3543,2281,9816,25,153,74,341,35,143,285,867,431,1511,66,239,85,213,511,1248,667,1697,1098,3203,97,219,4458,15242
POA3049,889,1800,29,178,124,561,18,78,580,2251,745,3059,91,402,106,400,330,1121,528,1922,1278,4981,8,35,31,102,10,36,131,343,167,515,23,74,54,138,258,597,334,811,509,1325,31,66,2706,8184
POA3051,1527,3041,17,96,92,437,10,38,609,2237,723,2801,24,113,93,328,90,284,211,729,935,3536,9,51,36,118,19,50,232,542,292,761,13,47,90,197,134,280,236,522,530,1282,124,259,3115,8118
POA3052,558,1113,0,26,30,140,0,3,199,686,232,856,9,30,35,140,33,102,78,269,307,1130,0,0,8,43,0,5,41,89,50,135,0,9,27,58,40,86,70,152,123,287,38,83,1032,2615
POA3053,1495,2971,7,47,37,173,7,38,318,1149,364,1395,17,62,48,158,53,167,115,389,481,1787,8,20,22,73,5,21,123,312,151,428,14,51,68,153,118,256,198,457,350,889,208,434,2533,6078
POA3054,1031,2057,0,3,57,257,3,22,399,1433,463,1716,21,94,81,269,65,202,168,566,632,2277,0,7,14,35,7,12,83,192,102,242,10,33,29,70,80,169,126,274,228,519,61,127,1951,4980
POA3055,1564,3133,15,76,105,473,6,19,851,3156,977,3725,61,266,116,411,209,692,389,1366,1367,5087,0,0,24,65,5,9,156,353,180,425,14,58,63,144,200,441,277,636,460,1065,107,220,3495,9503
POA3056,3085,6157,9,46,125,555,8,49,1208,4367,1352,5016,64,266,194,652,251,783,508,1702,1860,6720,0,5,35,87,4,18,208,479,248,590,19,78,83,189,299,650,406,917,653,1508,182,380,5780,14762
POA3057,1744,3477,0,8,84,372,4,10,584,2062,676,2445,36,158,87,303,100,336,222,794,897,3237,0,3,20,66,3,6,153,320,175,397,9,38,58,131,133,285,198,457,371,852,99,199,3108,7765
POA3058,3364,6747,50,286,344,1558,47,202,2393,8981,2830,11030,208,882,368,1308,685,2296,1260,4479,4090,15509,14,67,67,207,13,56,415,961,503,1283,55,194,147,338,608,1380,819,1918,1322,3204,210,441,8990,25900
POA3059,1610,3258,78,434,367,1790,74,359,1662,6576,2173,9153,266,1179,295,1099,816,2786,1376,5062,3552,14215,17,77,64,240,16,64,213,576,308,951,60,212,65,165,278,655,404,1031,712,1981,53,113,5923,19567
POA3060,1027,2090,46,263,184,996,44,207,996,4120,1268,5581,92,426,104,382,294,1011,488,1818,1756,7396,6,46,34,146,20,60,137,382,198,642,35,119,33,83,329,743,397,942,603,1583,74,161,3459,11232
POA3061,337,680,30,200,63,352,23,118,263,1132,380,1803,32,160,26,92,169,599,228,857,605,2662,9,31,14,46,3,17,69,181,83,282,14,46,11,39,138,327,161,409,246,688,25,56,1209,4086
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3063,48,101,0,10,14,75,4,9,22,108,43,194,7,36,14,45,12,57,35,142,80,332,0,3,0,0,0,0,3,3,3,10,3,6,3,9,12,22,15,33,20,45,5,6,152,487
POA3064,6443,13237,483,3023,1856,9328,433,2154,10949,43342,13725,57845,1045,4829,956,3479,2476,8675,4472,16988,18193,74835,111,580,317,1214,171,670,1512,4385,2108,6852,272,983,348,832,1556,3822,2178,5638,4285,12492,386,861,29309,101414
POA3065,1292,2568,0,4,31,133,9,19,368,1359,404,1517,21,77,58,197,66,207,141,488,548,2000,6,32,11,56,10,35,148,415,182,542,7,33,49,108,120,246,182,381,364,922,76,160,2273,5649
POA3066,1319,2613,3,8,21,100,8,37,273,1020,310,1177,8,41,33,116,51,162,99,315,406,1488,0,0,24,97,10,25,147,389,183,514,9,29,38,86,83,180,136,297,315,814,68,137,2109,5058
POA3067,1318,2624,0,16,33,136,3,15,371,1278,409,1448,21,84,48,160,75,250,142,492,555,1937,0,4,14,36,0,3,71,160,84,205,3,6,25,51,78,162,102,223,185,427,59,129,2127,5117
POA3068,2265,4502,0,3,143,641,12,58,1152,4309,1310,5010,60,254,223,779,168,531,451,1562,1764,6569,0,8,42,124,3,18,194,432,244,588,10,45,71,151,198,409,284,609,524,1194,92,183,4645,12447
POA3070,2602,5210,20,96,270,1209,19,86,1596,5999,1905,7384,128,524,358,1249,375,1238,861,3008,2762,10393,10,20,65,200,8,36,242,555,324,810,22,75,125,277,314,673,460,1027,784,1841,104,218,6257,17662
POA3071,1941,3878,14,84,194,863,17,67,1253,4599,1479,5619,83,373,224,807,264,880,584,2054,2058,7670,0,10,47,142,4,26,221,498,275,672,26,83,81,178,291,629,405,890,682,1569,94,194,4773,13304
POA3072,3350,6746,35,218,283,1263,32,149,2196,8159,2550,9790,201,885,301,1096,591,1955,1096,3938,3648,13720,8,34,64,208,15,59,421,1002,503,1304,52,173,163,363,633,1440,847,1977,1360,3283,271,579,8624,24332
POA3073,5059,10220,60,351,446,2073,93,428,3220,12012,3817,14862,280,1242,409,1423,1013,3397,1699,6064,5511,20926,19,105,115,397,45,171,692,1781,871,2455,100,349,217,486,1128,2544,1450,3380,2316,5829,374,792,13259,37763
POA3074,1975,4016,51,306,199,988,49,244,1113,4324,1413,5857,134,628,144,517,651,2156,932,3300,2349,9160,12,54,60,226,30,122,272,753,377,1163,57,195,99,253,593,1370,742,1809,1120,2973,143,315,5580,16468
POA3075,1984,4023,53,348,257,1283,61,289,1527,6019,1899,7929,177,785,167,604,651,2183,991,3574,2890,11501,25,128,64,279,39,161,283,794,416,1358,56,200,90,237,633,1496,779,1934,1198,3286,138,290,6209,19107
POA3076,2376,4834,78,452,413,2023,115,564,2517,9884,3128,12923,274,1191,320,1140,908,3070,1501,5404,4625,18324,20,123,96,345,51,179,546,1512,717,2157,103,363,148,333,658,1527,907,2223,1621,4383,152,323,8779,27861
POA3078,1225,2447,9,51,137,624,7,25,777,2939,936,3636,82,352,187,654,199,637,461,1640,1398,5275,0,5,28,75,7,14,141,313,168,406,17,53,60,126,127,272,200,459,366,860,49,105,3037,8690
POA3079,1803,3612,19,85,230,1006,19,87,1077,4089,1335,5266,172,736,344,1243,368,1167,880,3154,2221,8421,0,3,36,112,3,7,174,397,214,524,24,68,112,248,224,485,355,805,568,1334,67,144,4656,13509
POA3081,1240,2495,35,206,105,538,16,85,871,3231,1024,4063,54,243,83,276,216,708,349,1222,1372,5290,18,89,42,136,8,22,247,637,305,888,38,148,91,208,324,717,453,1071,761,1963,107,228,3484,9984
POA3082,2693,5450,44,267,333,1570,80,380,1642,6260,2096,8468,324,1398,363,1317,1245,4182,1931,6895,4028,15367,10,54,80,294,35,119,365,987,491,1452,96,307,120,285,614,1380,827,1970,1316,3424,118,249,8150,24488
POA3083,2965,5998,47,282,329,1504,54,264,1749,6672,2192,8722,263,1134,374,1349,866,2844,1496,5330,3687,14050,12,59,78,255,30,84,370,933,489,1335,61,194,157,382,589,1320,809,1895,1292,3234,196,403,8139,23684
POA3084,2727,5462,17,103,384,1756,34,146,2024,7890,2465,9893,190,805,429,1561,635,2063,1251,4430,3715,14324,4,16,58,185,7,16,292,685,360,899,52,177,132,289,373,786,560,1252,921,2150,78,162,7445,22102
POA3085,1299,2614,18,94,187,812,18,89,1116,4222,1343,5218,103,440,210,744,312,994,619,2180,1959,7400,9,21,38,115,7,31,147,365,194,528,20,71,88,200,227,503,332,769,532,1295,36,78,3833,11385
POA3087,947,1909,8,41,98,454,21,90,671,2588,797,3178,70,294,85,304,253,805,404,1407,1203,4579,5,16,26,100,8,26,124,325,166,466,20,61,43,105,187,413,249,582,420,1044,38,84,2611,7621
POA3088,2799,5626,37,189,340,1507,41,194,2094,8018,2509,9902,244,1034,324,1166,760,2459,1324,4666,3832,14565,12,56,75,245,25,86,341,816,461,1203,57,190,127,283,441,956,630,1425,1082,2624,77,167,7795,22977
POA3089,1123,2255,32,204,193,868,31,143,932,3654,1194,4870,165,719,197,715,424,1415,786,2845,1983,7715,7,20,30,103,12,30,118,304,168,456,47,145,53,118,191,434,289,695,457,1146,24,59,3588,11173
POA3090,191,386,10,49,61,287,6,29,151,614,234,985,49,215,47,176,105,366,206,751,436,1743,0,0,3,7,0,0,5,22,9,30,0,0,10,22,19,46,26,69,38,104,7,17,676,2254
POA3091,164,334,8,29,22,105,8,30,70,305,110,473,32,145,35,119,83,275,148,543,257,1009,0,3,0,3,0,0,9,22,11,35,0,5,4,8,17,40,21,43,30,81,5,11,460,1433
POA3093,451,893,5,35,55,247,6,27,253,996,314,1298,43,169,48,184,84,284,172,642,496,1942,0,4,14,41,3,7,34,85,51,136,10,31,13,32,55,116,80,177,133,317,12,24,1085,3177
POA3094,1003,2000,11,55,109,508,18,74,740,2863,881,3498,66,280,118,415,190,617,371,1309,1255,4810,4,9,26,89,0,5,149,357,188,457,11,31,44,97,175,371,231,502,408,964,37,81,2706,7857
POA3095,2814,5628,45,286,460,2095,44,202,2092,8220,2646,10804,323,1391,507,1828,936,3064,1764,6289,4410,17090,7,21,60,188,21,58,286,711,370,983,78,232,133,309,365,801,566,1344,937,2325,57,124,8222,25173
POA3096,175,346,0,9,27,128,8,35,115,445,151,612,22,104,31,113,83,283,139,499,289,1113,4,14,7,23,0,3,22,54,29,97,10,17,10,19,24,56,42,100,73,197,10,14,540,1665
POA3097,167,338,3,10,30,136,0,0,78,335,113,485,19,74,27,95,47,158,84,325,201,804,0,0,3,8,0,0,20,37,22,44,4,18,5,3,10,23,19,45,44,94,0,0,410,1240
POA3099,523,1057,19,101,80,355,18,89,335,1317,450,1866,46,206,52,173,171,546,267,931,718,2796,0,0,12,46,4,15,48,122,73,186,13,41,25,53,75,164,114,265,190,447,7,15,1435,4319
POA3101,2389,4785,22,112,408,1834,21,76,1391,5310,1839,7340,190,825,488,1764,430,1364,1114,3955,2950,11293,4,13,101,325,5,14,252,606,368,959,34,108,185,419,276,588,492,1113,863,2076,121,256,6327,18404
POA3102,565,1146,6,31,122,542,5,31,454,1770,580,2367,74,299,150,549,154,508,371,1351,956,3724,0,0,24,79,4,7,84,185,110,274,18,59,44,104,95,203,154,367,264,639,22,42,1818,5548
POA3103,1476,2958,10,45,273,1212,21,85,941,3588,1248,4925,167,708,362,1238,355,1118,885,3067,2129,7991,5,8,82,256,10,22,195,486,289,772,35,110,172,379,189,398,394,897,682,1667,63,139,4348,12759
POA3104,1638,3285,27,153,501,2243,27,131,1373,5394,1933,7927,253,1088,587,2103,623,2065,1463,5258,3396,13181,9,26,88,297,6,27,212,559,319,905,55,178,186,442,275,585,513,1208,830,2119,62,140,5931,18721
POA3105,1235,2484,10,56,126,580,20,83,668,2536,822,3261,104,437,206,759,353,1168,664,2367,1486,5623,0,4,24,71,3,11,109,289,138,383,29,103,69,167,248,559,348,825,486,1202,49,97,3255,9405
POA3106,1831,3683,21,125,236,1079,27,106,1038,4044,1325,5363,176,780,306,1093,652,2138,1140,4011,2464,9370,0,15,46,158,12,26,150,389,210,591,30,111,86,199,222,504,342,818,549,1410,49,105,4894,14566
POA3107,1455,2939,14,76,178,801,12,57,987,3768,1197,4696,128,537,249,885,427,1414,801,2840,1997,7536,3,12,56,167,6,33,154,406,220,622,31,97,82,185,270,602,385,883,602,1500,54,111,4107,12081
POA3108,2962,5968,20,111,249,1106,36,167,1489,5519,1792,6901,172,741,353,1255,633,2061,1161,4053,2954,10953,9,38,68,217,13,39,335,822,424,1115,70,217,203,462,422,923,697,1603,1114,2722,155,327,7190,19977
POA3109,3008,6062,32,161,427,1912,39,176,2404,9192,2897,11440,259,1116,503,1782,907,2968,1674,5864,4569,17306,8,36,87,283,23,78,343,847,456,1245,75,241,192,439,501,1125,761,1808,1223,3051,125,261,8920,26680
POA3111,1242,2487,22,112,180,804,16,74,825,3210,1042,4204,130,565,262,952,382,1258,772,2775,1818,6979,6,18,42,134,12,25,115,291,174,466,27,102,51,125,155,349,237,572,413,1042,21,39,3484,10547
POA3113,796,1578,28,139,170,778,24,103,569,2255,789,3278,106,465,212,753,264,867,585,2080,1376,5359,0,8,30,97,9,37,66,173,110,318,14,50,41,98,97,209,154,356,268,674,11,22,2446,7630
POA3114,356,723,9,50,91,464,13,52,209,883,323,1456,72,297,102,379,137,447,308,1132,638,2586,0,0,4,21,0,0,11,33,21,61,6,14,10,28,30,67,47,112,67,172,7,11,1058,3482
POA3115,421,837,11,49,85,378,11,46,219,884,318,1359,55,225,73,255,150,510,275,1000,602,2358,0,0,8,22,5,7,21,55,31,88,7,18,14,32,36,84,58,141,92,225,7,12,1119,3436
POA3116,1211,2431,28,169,153,703,35,157,876,3382,1088,4414,112,468,128,454,335,1103,579,2028,1672,6439,12,43,37,136,8,32,135,365,196,574,38,119,44,107,197,447,278,671,469,1247,29,61,3382,10181
POA3121,4064,8106,11,45,153,678,17,74,1346,4865,1525,5653,82,318,240,813,282,895,596,2033,2128,7687,4,30,52,171,14,59,262,642,341,901,35,104,147,325,399,866,571,1295,910,2198,255,532,7363,18521
POA3122,2526,5034,14,73,275,1222,12,41,1107,4150,1403,5483,100,413,317,1109,230,711,641,2236,2045,7718,5,10,43,122,3,7,186,412,236,555,29,88,106,248,159,323,294,658,527,1208,161,335,5260,14294
POA3123,1685,3344,6,34,191,857,8,37,910,3444,1108,4369,95,411,223,807,187,588,504,1807,1617,6174,0,0,37,128,5,7,163,359,200,495,20,53,85,183,127,269,234,509,438,998,83,163,3807,10687
POA3124,2194,4391,15,63,348,1584,26,114,1357,5220,1739,6978,202,832,538,1960,422,1362,1155,4157,2900,11135,3,18,49,179,8,37,201,497,272,730,33,99,145,328,239,507,416,934,682,1665,92,187,5875,17378
POA3125,1310,2631,11,64,156,704,16,57,799,2987,983,3813,94,413,219,808,228,719,543,1945,1531,5762,4,15,46,145,16,53,181,453,238,663,24,79,105,234,197,444,329,747,572,1416,110,231,3519,10044
POA3126,828,1636,8,47,152,721,8,33,443,1724,617,2533,77,321,209,738,174,559,457,1624,1070,4151,9,28,30,99,3,13,70,169,113,308,17,54,73,176,66,129,151,354,266,663,22,46,2183,6499
POA3127,1879,3748,27,133,371,1655,18,65,1152,4406,1552,6259,146,621,500,1791,386,1224,1034,3640,2587,9897,3,12,46,128,0,6,202,452,248,597,39,107,120,268,200,426,355,802,606,1405,74,160,5150,15209
POA3128,2359,4758,19,112,222,967,13,59,1214,4463,1470,5596,115,508,344,1209,295,961,753,2682,2224,8278,3,14,71,211,6,18,276,653,350,898,43,134,210,442,291,616,538,1192,889,2084,177,382,5648,15500
POA3129,1610,3259,20,101,259,1127,18,79,1283,4840,1576,6148,146,609,349,1264,343,1095,836,2967,2416,9117,4,25,65,200,13,46,219,542,306,817,37,110,146,350,286,622,474,1089,773,1906,113,222,4911,14507
POA3130,3065,6176,46,247,500,2232,51,227,2350,9053,2951,11757,291,1228,601,2190,715,2315,1613,5733,4567,17486,9,39,86,285,16,51,295,757,406,1131,75,235,217,503,468,1006,759,1741,1168,2872,135,283,8930,26812
POA3131,2171,4375,31,144,278,1255,22,96,1722,6500,2051,7991,178,756,319,1150,462,1499,954,3404,3009,11395,4,14,61,210,8,39,223,554,303,812,51,164,136,314,412,896,594,1369,901,2180,128,275,6201,18230
POA3132,1733,3473,19,103,204,921,29,126,1366,5106,1612,6256,119,506,233,837,318,1049,674,2390,2290,8650,0,4,30,97,14,44,161,373,207,516,35,122,97,231,269,599,406,948,614,1458,74,156,4708,13738
POA3133,2294,4646,23,161,350,1525,29,132,1656,6443,2069,8257,223,945,455,1625,609,1995,1279,4575,3347,12832,10,41,72,245,23,63,213,540,310,889,48,156,130,308,332,743,509,1210,819,2095,73,161,6533,19733
POA3134,3470,6972,63,328,497,2282,55,255,2435,9307,3052,12179,307,1309,446,1594,830,2710,1575,5610,4628,17790,15,59,99,330,23,93,377,950,517,1425,91,288,217,497,512,1105,819,1894,1334,3320,117,247,9554,28324
POA3135,1890,3804,35,224,280,1297,31,161,1648,6294,1998,7975,160,720,255,905,433,1414,852,3036,2856,11009,4,29,47,148,14,44,257,626,321,854,60,183,92,210,337,722,488,1115,812,1967,75,162,5634,16943
POA3136,4728,9502,68,391,479,2215,95,429,3347,12868,3993,15902,355,1533,474,1648,1080,3520,1908,6709,5903,22608,20,87,148,496,55,190,685,1677,908,2445,119,369,248,533,856,1869,1217,2773,2125,5220,161,333,12918,37664
POA3137,1485,2990,31,144,146,707,49,218,1006,3852,1228,4922,114,489,118,400,388,1310,615,2191,1845,7115,3,22,50,181,24,91,226,573,305,869,32,101,68,155,302,665,400,925,714,1787,59,120,4096,12017
POA3138,2200,4430,65,383,277,1324,86,420,1688,6613,2118,8743,190,865,214,740,625,2048,1029,3645,3149,12392,9,42,67,217,31,109,311,800,420,1170,60,210,101,221,460,1032,625,1464,1046,2641,79,171,6475,19633
POA3139,1570,3154,42,253,166,779,58,282,1002,3921,1275,5239,123,535,107,389,441,1432,673,2351,1942,7588,4,24,33,124,17,60,188,499,238,702,34,112,41,85,225,491,298,687,537,1392,42,84,4091,12219
POA3140,1883,3793,44,216,212,961,48,220,1073,4174,1379,5569,161,667,176,613,490,1591,822,2862,2198,8437,7,24,65,206,24,83,240,588,326,902,42,144,72,175,295,656,414,974,744,1883,59,119,4889,14231
POA3141,3578,7080,3,25,71,309,7,29,762,2668,843,3030,43,176,148,478,138,428,332,1080,1175,4107,5,22,36,113,10,36,199,457,256,629,16,43,110,244,212,439,332,723,592,1358,212,433,5553,12978
POA3142,1740,3448,10,30,142,644,7,30,507,1902,663,2610,84,342,195,688,202,637,481,1664,1140,4277,0,9,26,93,4,5,109,265,141,370,26,71,76,173,134,281,233,527,374,899,53,108,3308,8728
POA3143,1194,2369,12,49,70,306,7,22,486,1807,569,2182,32,137,107,367,99,299,235,806,804,2983,0,0,26,92,0,5,113,252,143,345,13,36,66,145,92,190,172,368,310,715,56,116,2366,6186
POA3144,1191,2372,3,34,168,742,6,27,612,2350,790,3151,77,331,209,760,186,575,466,1661,1258,4818,0,3,29,82,3,5,98,231,128,331,17,58,79,190,113,243,214,495,339,821,49,99,2836,8111
POA3145,2216,4438,15,82,329,1485,5,29,1513,5815,1859,7414,179,753,522,1916,408,1337,1109,4008,2967,11426,5,31,44,138,3,17,212,489,268,667,35,103,117,266,271,583,419,949,686,1624,115,240,5981,17722
POA3146,2504,5004,28,135,434,1952,19,79,1841,7083,2321,9254,234,985,615,2253,467,1481,1320,4720,3636,13975,0,0,65,209,10,31,246,561,316,796,34,100,156,376,258,539,448,1010,765,1813,131,268,7039,21056
POA3147,1254,2526,17,96,221,973,12,58,1122,4314,1374,5442,116,489,309,1112,305,991,737,2589,2110,8036,3,18,48,157,8,28,187,466,252,667,23,77,102,221,210,471,332,769,588,1430,58,119,4006,12115
POA3148,965,1945,4,24,77,351,11,46,672,2495,764,2911,44,186,104,379,195,641,347,1200,1110,4109,0,24,25,82,11,42,122,290,158,430,15,53,69,151,164,352,242,557,401,987,67,144,2540,7194
POA3149,3257,6544,46,241,585,2585,47,192,2570,9719,3248,12733,302,1278,739,2621,845,2745,1891,6648,5139,19382,9,33,98,323,16,57,317,813,441,1222,71,227,256,581,553,1206,886,2016,1322,3238,164,340,9879,29506
POA3150,6155,12429,59,304,1013,4488,86,356,4098,15775,5255,20918,593,2539,1317,4656,1822,5968,3729,13163,8990,34086,20,92,183,611,32,99,579,1491,814,2288,135,447,457,1074,899,1989,1494,3507,2307,5800,242,510,17690,52819
POA3151,1128,2283,7,25,118,534,23,98,672,2509,821,3168,91,383,156,550,291,934,537,1866,1355,5030,0,14,18,59,10,24,78,188,113,289,29,94,59,149,237,511,329,748,441,1033,51,109,2982,8464
POA3152,3463,6988,43,230,445,2045,72,345,2451,9375,3004,11995,349,1498,557,1994,1170,3802,2071,7298,5078,19292,15,69,96,325,34,124,350,925,500,1438,70,219,185,414,560,1276,810,1908,1312,3343,118,248,9969,29871
POA3153,2097,4237,27,135,211,953,32,153,1494,5618,1762,6859,115,494,161,581,487,1563,768,2631,2524,9489,18,90,50,172,30,106,333,845,438,1219,46,140,120,278,502,1090,673,1513,1109,2728,109,233,5840,16687
POA3154,450,902,9,40,67,305,7,39,337,1298,417,1679,30,138,43,156,113,362,191,662,610,2342,0,17,10,34,8,28,53,139,73,213,4,27,15,32,81,177,102,236,178,448,12,32,1251,3719
POA3155,2478,4995,33,210,214,945,46,224,1610,6032,1901,7398,123,503,209,720,493,1592,821,2816,2720,10219,6,40,83,286,28,93,386,1007,504,1429,51,160,141,298,528,1155,716,1614,1224,3044,119,246,6538,18503
POA3156,3712,7467,73,411,462,2114,89,402,2588,9950,3217,12885,403,1738,491,1767,1198,3916,2088,7415,5306,20302,18,75,105,367,52,168,493,1288,666,1905,109,355,202,466,710,1586,1025,2403,1696,4310,140,289,10847,32359
POA3158,685,1365,17,84,100,449,18,80,533,2051,661,2670,59,239,84,275,190,589,327,1107,986,3775,0,15,20,61,6,24,78,181,109,285,22,63,33,72,142,309,188,449,298,731,14,24,1984,5892
POA3159,254,520,3,25,30,134,11,53,194,754,241,956,21,107,32,122,88,282,144,501,385,1455,0,5,3,28,0,13,29,80,45,122,7,26,16,41,27,59,49,118,89,250,3,4,730,2225
POA3160,928,1853,18,99,126,580,36,168,636,2488,820,3334,83,359,104,346,248,815,436,1521,1255,4850,3,6,33,105,8,30,118,258,158,405,23,78,44,110,162,359,231,544,391,954,25,55,2598,7709
POA3161,1938,3856,18,99,224,1099,4,19,985,3912,1231,5124,121,498,228,833,229,721,576,2056,1805,7178,5,16,38,102,4,9,171,386,213,508,15,49,78,184,136,283,235,523,450,1032,71,151,4266,12216
POA3162,1874,3753,19,102,274,1216,18,81,1247,4809,1556,6208,152,641,295,1062,356,1130,801,2830,2352,9037,9,26,45,151,10,39,166,414,230,630,25,76,99,220,209,444,335,738,563,1367,64,142,4857,14298
POA3163,3746,7512,14,92,318,1392,21,85,2298,8359,2650,9937,152,652,422,1501,435,1391,1013,3541,3667,13473,0,7,49,154,13,48,312,693,378,909,34,114,164,359,400,874,600,1349,983,2255,211,444,8606,23693
POA3165,2524,5075,23,144,516,2270,52,230,2525,9633,3121,12283,246,1046,530,1877,679,2236,1455,5162,4575,17442,9,44,106,314,20,67,385,953,519,1374,74,241,208,467,478,1048,755,1756,1275,3125,119,264,8496,25908
POA3166,2436,4939,13,83,242,1070,23,121,1738,6421,2026,7695,165,717,352,1240,519,1719,1037,3681,3059,11380,5,24,61,207,9,28,248,605,327,858,51,171,133,305,440,976,627,1456,951,2320,182,379,6632,19018
